hrs,absences,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
5.537753235162778,19.0,,3.0,3.0,2.0,3.0,21.0,Yes,Travel_Rarely,Human Resources,10.0,,Human Resources,1.0,113,,1.0,Laboratory Technician,Single,53730.0,1.0,Y,12.0,8.0,1.0,1.0,2.0,1.0,0.0,0
8.600741856313888,14.0,3.0,4.0,1.0,4.0,2.0,34.0,Yes,Non-Travel,Research & Development,7.0,3.0,Life Sciences,,121,Male,1.0,Sales Representative,Single,,8.0,Y,25.0,,1.0,,3.0,5.0,0.0,4
6.7463688085675,9.0,3.0,,3.0,,,26.0,Yes,Travel_Frequently,Sales,14.0,3.0,Life Sciences,,125,Male,2.0,Manager,Single,75100.0,0.0,Y,18.0,,,7.0,3.0,,0.0,4
7.89557675145,9.0,2.0,3.0,3.0,4.0,3.0,30.0,Yes,,Sales,3.0,2.0,Marketing,1.0,128,,3.0,Research Scientist,Single,11290.0,9.0,Y,19.0,8.0,0.0,3.0,2.0,1.0,0.0,0
6.134392012494167,13.0,3.0,3.0,1.0,1.0,3.0,25.0,Yes,Travel_Rarely,Research & Development,5.0,2.0,Life Sciences,1.0,148,Female,3.0,Laboratory Technician,Married,26600.0,5.0,Y,13.0,8.0,0.0,6.0,3.0,,0.0,2
10.092957385095833,13.0,2.0,3.0,1.0,2.0,,24.0,Yes,Travel_Rarely,,27.0,2.0,Medical,1.0,157,,,,Single,104220.0,1.0,Y,17.0,,,6.0,0.0,5.0,,4
5.656244979919444,,3.0,4.0,4.0,3.0,,34.0,Yes,Travel_Frequently,Research & Development,5.0,,Medical,1.0,158,Male,2.0,Research Scientist,Divorced,137440.0,,Y,,8.0,1.0,3.0,,2.0,,0
6.330712851405556,12.0,2.0,3.0,3.0,2.0,4.0,29.0,Yes,Travel_Rarely,Research & Development,19.0,4.0,Life Sciences,1.0,164,,3.0,Research Scientist,Married,17900.0,5.0,Y,16.0,8.0,,6.0,4.0,,1.0,1
7.429799196786944,,,,,,4.0,19.0,Yes,Travel_Rarely,Research & Development,4.0,3.0,Medical,1.0,165,Male,1.0,Sales Executive,Single,76440.0,1.0,,15.0,8.0,2.0,,2.0,1.0,0.0,0
7.966945560017778,15.0,2.0,4.0,2.0,3.0,4.0,33.0,Yes,,Research & Development,10.0,3.0,Life Sciences,,178,Female,4.0,Research Director,Married,67280.0,7.0,Y,22.0,8.0,0.0,15.0,,,7.0,7
6.825259928603056,,,4.0,1.0,4.0,3.0,33.0,Yes,Travel_Rarely,Sales,,4.0,Marketing,1.0,179,Male,2.0,Research Director,Divorced,,7.0,,25.0,8.0,,8.0,,4.0,1.0,3
6.032698572065834,21.0,2.0,3.0,1.0,,,31.0,Yes,Travel_Frequently,Research & Development,22.0,2.0,Medical,1.0,182,Female,2.0,Sales Executive,Married,56890.0,,,15.0,8.0,,12.0,2.0,,0.0,0
10.4656659973225,12.0,4.0,,2.0,1.0,3.0,34.0,Yes,Travel_Frequently,Sales,17.0,1.0,Marketing,,183,Male,,,Divorced,,,Y,22.0,8.0,1.0,11.0,5.0,,0.0,2
6.032679607318055,15.0,3.0,3.0,3.0,3.0,3.0,22.0,Yes,Travel_Frequently,Research & Development,7.0,3.0,Medical,1.0,186,Female,,Laboratory Technician,Single,37850.0,5.0,,,8.0,2.0,4.0,2.0,2.0,1.0,2
,5.0,,3.0,,3.0,2.0,26.0,Yes,Travel_Frequently,Research & Development,2.0,1.0,Life Sciences,1.0,196,Female,2.0,Laboratory Technician,Divorced,59930.0,0.0,Y,,8.0,0.0,8.0,,7.0,1.0,0
8.933678045515277,8.0,4.0,3.0,2.0,,3.0,18.0,Yes,Travel_Frequently,Research & Development,2.0,3.0,Technical Degree,1.0,200,,1.0,Sales Executive,Single,34680.0,1.0,Y,18.0,,2.0,0.0,4.0,0.0,0.0,0
,,1.0,4.0,3.0,4.0,1.0,26.0,Yes,Travel_Rarely,Sales,,3.0,Marketing,1.0,206,Female,2.0,Manufacturing Director,Single,24260.0,1.0,Y,22.0,8.0,0.0,1.0,,1.0,0.0,0
,8.0,2.0,4.0,4.0,3.0,3.0,32.0,Yes,Non-Travel,Research & Development,7.0,2.0,Life Sciences,1.0,212,Female,2.0,Research Director,Married,32980.0,,Y,22.0,8.0,0.0,6.0,4.0,4.0,1.0,2
,3.0,3.0,,1.0,3.0,3.0,24.0,Yes,Travel_Frequently,Research & Development,2.0,3.0,Medical,1.0,222,Male,2.0,Research Scientist,Married,39190.0,1.0,Y,21.0,8.0,0.0,6.0,3.0,,1.0,2
6.4357128514055555,,3.0,,2.0,1.0,4.0,30.0,Yes,Travel_Frequently,Research & Development,9.0,3.0,Other,1.0,223,Male,,,Married,68250.0,1.0,Y,14.0,,0.0,1.0,2.0,,0.0,0
,10.0,2.0,3.0,,1.0,1.0,31.0,Yes,Travel_Rarely,Research & Development,9.0,1.0,Medical,1.0,225,Female,,Sales Representative,Divorced,189470.0,2.0,Y,12.0,8.0,2.0,9.0,,3.0,1.0,2
6.2227097278,10.0,3.0,3.0,3.0,1.0,3.0,27.0,Yes,Travel_Rarely,,27.0,3.0,Life Sciences,1.0,238,Male,2.0,Research Scientist,Divorced,22930.0,0.0,Y,18.0,8.0,0.0,5.0,0.0,4.0,0.0,2
6.935332440874444,21.0,3.0,,1.0,1.0,3.0,45.0,Yes,Travel_Frequently,Research & Development,19.0,4.0,Life Sciences,1.0,247,,3.0,Research Director,Married,34410.0,2.0,Y,13.0,8.0,1.0,5.0,5.0,1.0,0.0,0
8.247884872824445,11.0,2.0,,4.0,,3.0,20.0,Yes,Travel_Rarely,Research & Development,,3.0,Life Sciences,,256,Male,5.0,Sales Representative,Single,61620.0,1.0,Y,12.0,8.0,3.0,1.0,2.0,1.0,1.0,1
10.2773058902275,,,3.0,1.0,1.0,3.0,33.0,Yes,,Research & Development,15.0,4.0,Medical,,257,Female,1.0,Laboratory Technician,Single,24060.0,,Y,11.0,8.0,0.0,10.0,3.0,10.0,9.0,7
7.271326416778056,8.0,1.0,3.0,1.0,3.0,3.0,,Yes,Travel_Rarely,,17.0,2.0,Life Sciences,1.0,268,Female,1.0,Healthcare Representative,,25010.0,9.0,Y,12.0,8.0,,4.0,3.0,2.0,2.0,0
8.106145693886388,3.0,,3.0,2.0,3.0,3.0,,Yes,Travel_Frequently,Research & Development,4.0,2.0,Medical,1.0,271,Male,4.0,Sales Representative,Married,44240.0,3.0,Y,14.0,8.0,1.0,18.0,2.0,4.0,,3
7.447954038375555,20.0,,3.0,1.0,2.0,,28.0,Yes,Travel_Rarely,Sales,2.0,4.0,Life Sciences,1.0,283,Male,3.0,Research Scientist,Single,,7.0,,18.0,,3.0,,0.0,7.0,3.0,7
,10.0,3.0,4.0,3.0,,,42.0,Yes,,Research & Development,10.0,,Life Sciences,1.0,290,Female,1.0,Sales Executive,Divorced,50100.0,6.0,Y,21.0,8.0,3.0,7.0,,2.0,2.0,2
9.606076528335555,11.0,3.0,3.0,4.0,4.0,2.0,33.0,Yes,Travel_Rarely,Research & Development,1.0,2.0,Medical,1.0,305,Male,3.0,Laboratory Technician,Single,28710.0,1.0,Y,17.0,8.0,3.0,10.0,2.0,10.0,,8
9.325049085229722,17.0,,3.0,2.0,3.0,3.0,47.0,Yes,Travel_Frequently,Research & Development,4.0,3.0,Life Sciences,1.0,309,Male,1.0,Research Director,Single,27740.0,4.0,,13.0,,1.0,,2.0,5.0,,3
7.6582463186075,10.0,3.0,3.0,4.0,1.0,,55.0,Yes,Travel_Rarely,,7.0,,Human Resources,1.0,311,Male,4.0,Laboratory Technician,Married,74280.0,5.0,Y,12.0,,0.0,24.0,2.0,5.0,1.0,4
5.719818161535,19.0,3.0,3.0,,1.0,2.0,26.0,Yes,Travel_Rarely,Research & Development,15.0,2.0,Life Sciences,1.0,316,Male,2.0,Laboratory Technician,Single,,,Y,19.0,,1.0,6.0,2.0,4.0,1.0,2
7.590754127621389,12.0,2.0,3.0,3.0,1.0,,,Yes,,Sales,,3.0,Medical,1.0,328,Female,4.0,Manufacturing Director,Married,45590.0,1.0,Y,18.0,8.0,,1.0,2.0,,0.0,0
10.652589245872223,,,3.0,2.0,,3.0,29.0,Yes,Travel_Rarely,Sales,2.0,4.0,Marketing,,332,Female,4.0,,Married,106500.0,1.0,Y,13.0,8.0,2.0,1.0,,1.0,0.0,0
7.762304774654167,,2.0,3.0,1.0,1.0,3.0,33.0,Yes,Travel_Rarely,Research & Development,23.0,5.0,Life Sciences,1.0,334,Male,1.0,,Single,86390.0,,,16.0,8.0,2.0,6.0,,3.0,0.0,2
8.2889491298525,17.0,3.0,,4.0,2.0,3.0,58.0,Yes,Travel_Rarely,,24.0,3.0,Other,1.0,338,Female,2.0,Research Scientist,Single,43170.0,7.0,,,8.0,0.0,40.0,,31.0,13.0,8
,19.0,2.0,3.0,3.0,3.0,2.0,28.0,Yes,Travel_Rarely,Research & Development,19.0,4.0,Medical,1.0,341,Female,2.0,Sales Executive,Single,32040.0,,Y,16.0,,1.0,5.0,4.0,2.0,2.0,1
5.832747657295833,18.0,4.0,3.0,3.0,,4.0,49.0,Yes,Travel_Rarely,Sales,7.0,2.0,Life Sciences,1.0,350,Female,2.0,Healthcare Representative,Married,89980.0,,Y,,8.0,2.0,9.0,2.0,9.0,7.0,7
5.838710397143889,21.0,4.0,3.0,,4.0,2.0,55.0,Yes,Travel_Rarely,Human Resources,16.0,3.0,Technical Degree,,351,Male,4.0,,,43190.0,,Y,11.0,,,12.0,3.0,9.0,7.0,3
7.388000892458611,19.0,3.0,4.0,3.0,3.0,,26.0,Yes,Travel_Frequently,Research & Development,22.0,4.0,Other,,357,,1.0,Sales Executive,Married,,1.0,Y,23.0,8.0,,8.0,,,1.0,7
9.277542391789167,18.0,,3.0,4.0,2.0,2.0,35.0,Yes,Travel_Frequently,Sales,8.0,2.0,Marketing,1.0,379,Female,1.0,Laboratory Technician,Divorced,36900.0,1.0,,13.0,8.0,,10.0,2.0,10.0,7.0,8
,7.0,,3.0,2.0,,3.0,,Yes,Travel_Rarely,Sales,3.0,3.0,Marketing,1.0,388,Male,3.0,Laboratory Technician,Divorced,59160.0,6.0,Y,12.0,,0.0,,2.0,3.0,0.0,2
,2.0,2.0,3.0,1.0,4.0,1.0,,Yes,Travel_Rarely,Research & Development,9.0,,Medical,,399,Female,1.0,Laboratory Technician,Single,27410.0,1.0,Y,15.0,8.0,1.0,1.0,5.0,1.0,0.0,1
10.289556001784723,5.0,3.0,3.0,,4.0,2.0,58.0,Yes,Travel_Frequently,,9.0,2.0,Technical Degree,1.0,403,Male,1.0,Sales Executive,Divorced,21530.0,9.0,,11.0,8.0,,3.0,3.0,1.0,0.0,0
6.677385095939167,15.0,1.0,3.0,3.0,3.0,2.0,,Yes,Travel_Rarely,,,3.0,Medical,1.0,405,Male,2.0,Sales Executive,,93960.0,1.0,,12.0,8.0,0.0,2.0,6.0,2.0,0.0,2
7.7513821954483335,4.0,3.0,3.0,,4.0,2.0,21.0,Yes,Travel_Rarely,Research & Development,,3.0,Medical,1.0,406,Male,2.0,,,104000.0,1.0,,13.0,8.0,1.0,,2.0,1.0,0.0,0
9.487376171351945,,3.0,3.0,2.0,3.0,4.0,22.0,Yes,Travel_Rarely,Research & Development,15.0,4.0,Life Sciences,1.0,409,,,Laboratory Technician,Married,124900.0,0.0,Y,13.0,8.0,0.0,,3.0,3.0,0.0,2
9.657897144131944,18.0,4.0,3.0,2.0,,2.0,41.0,Yes,Travel_Rarely,Research & Development,23.0,3.0,Life Sciences,,410,Female,2.0,Sales Executive,Divorced,,4.0,Y,11.0,8.0,0.0,10.0,3.0,7.0,1.0,0
10.237904953145833,10.0,3.0,3.0,4.0,1.0,1.0,39.0,Yes,Travel_Rarely,Research & Development,10.0,4.0,Life Sciences,1.0,412,Female,4.0,Human Resources,Married,66960.0,7.0,Y,,,0.0,8.0,3.0,2.0,2.0,2
8.330619143239444,,2.0,3.0,,2.0,3.0,25.0,Yes,Travel_Rarely,Research & Development,,2.0,Life Sciences,,426,Male,1.0,,Married,32120.0,1.0,Y,15.0,,1.0,1.0,3.0,1.0,0.0,0
10.273971441320834,8.0,,3.0,4.0,2.0,4.0,19.0,Yes,Travel_Rarely,Research & Development,,3.0,Life Sciences,1.0,431,Male,2.0,Research Scientist,Single,,1.0,Y,15.0,8.0,1.0,1.0,,1.0,0.0,0
,7.0,3.0,3.0,1.0,1.0,3.0,20.0,Yes,Travel_Rarely,Research & Development,,3.0,Life Sciences,1.0,432,,3.0,Laboratory Technician,Single,27070.0,1.0,Y,11.0,8.0,0.0,1.0,2.0,1.0,0.0,0
9.333316599732223,12.0,3.0,3.0,3.0,4.0,3.0,,Yes,Travel_Rarely,Research & Development,,,Medical,,436,,3.0,Sales Executive,,22320.0,1.0,Y,12.0,8.0,,16.0,,16.0,3.0,7
,,,3.0,1.0,3.0,1.0,37.0,Yes,,Sales,10.0,4.0,Marketing,1.0,438,Female,3.0,Human Resources,Married,30720.0,,Y,14.0,,0.0,17.0,,14.0,11.0,7
6.905394912985,19.0,1.0,3.0,4.0,3.0,3.0,,Yes,,Sales,9.0,2.0,Medical,1.0,443,Female,,,Single,59570.0,4.0,Y,,,1.0,7.0,2.0,1.0,0.0,0
9.0162672913875,12.0,3.0,3.0,2.0,2.0,,40.0,Yes,Non-Travel,Research & Development,2.0,,Life Sciences,1.0,449,Male,1.0,Human Resources,Single,,4.0,Y,15.0,8.0,0.0,22.0,2.0,1.0,,0
7.825960508701389,11.0,3.0,,3.0,1.0,3.0,31.0,Yes,Non-Travel,Research & Development,28.0,4.0,Medical,1.0,452,Male,2.0,,,,0.0,Y,21.0,8.0,0.0,,2.0,3.0,,2
9.744162204372778,13.0,,3.0,4.0,1.0,3.0,29.0,Yes,Travel_Rarely,Human Resources,,5.0,Life Sciences,1.0,454,Male,1.0,Sales Executive,Single,27230.0,6.0,,11.0,,,3.0,2.0,,0.0,0
9.914447791164445,14.0,2.0,3.0,,,,30.0,Yes,,Sales,,3.0,Life Sciences,,463,,2.0,Healthcare Representative,Married,40000.0,4.0,Y,12.0,8.0,0.0,7.0,5.0,5.0,0.0,1
8.68441320838889,17.0,2.0,3.0,3.0,2.0,,,Yes,Travel_Rarely,Sales,24.0,3.0,Medical,1.0,468,Male,,Healthcare Representative,Divorced,20700.0,,Y,13.0,8.0,3.0,5.0,1.0,4.0,0.0,2
8.047624944221111,8.0,3.0,3.0,4.0,,3.0,,Yes,,Research & Development,2.0,2.0,Life Sciences,1.0,474,Female,2.0,Research Scientist,,63970.0,1.0,Y,,8.0,,1.0,3.0,1.0,,0
6.964200133868611,21.0,3.0,3.0,2.0,2.0,3.0,30.0,Yes,Travel_Frequently,Research & Development,8.0,4.0,Medical,,475,,1.0,Sales Executive,Single,191440.0,0.0,Y,11.0,8.0,0.0,,,,1.0,2
6.193527443105555,15.0,4.0,,1.0,2.0,1.0,37.0,Yes,Travel_Rarely,Sales,15.0,3.0,Marketing,,487,Male,2.0,Laboratory Technician,Married,44850.0,5.0,,11.0,8.0,1.0,15.0,2.0,1.0,0.0,0
7.167636099955278,16.0,2.0,,2.0,,3.0,26.0,Yes,Non-Travel,,21.0,,Life Sciences,1.0,491,Female,1.0,,Single,135250.0,8.0,,17.0,,1.0,,4.0,,2.0,2
5.700886880856666,,4.0,,1.0,4.0,,52.0,Yes,Travel_Rarely,,5.0,4.0,Medical,1.0,492,,4.0,Human Resources,Married,14200.0,1.0,Y,13.0,,1.0,33.0,2.0,,6.0,9
,8.0,3.0,3.0,3.0,1.0,3.0,36.0,Yes,Travel_Rarely,,2.0,,Technical Degree,1.0,495,Male,4.0,Sales Executive,,54820.0,1.0,Y,18.0,8.0,0.0,18.0,3.0,,15.0,14
5.7161970102630555,15.0,3.0,3.0,1.0,3.0,2.0,,Yes,Travel_Rarely,Research & Development,7.0,2.0,Life Sciences,1.0,504,Female,,Research Scientist,Divorced,56600.0,7.0,Y,12.0,8.0,,9.0,3.0,1.0,0.0,0
7.616043061133333,18.0,,3.0,,1.0,,26.0,Yes,Travel_Frequently,Sales,2.0,,Life Sciences,1.0,505,Male,2.0,Research Scientist,,,,Y,14.0,8.0,2.0,6.0,2.0,3.0,1.0,2
8.892337126282778,6.0,2.0,4.0,,4.0,3.0,20.0,Yes,Travel_Frequently,,8.0,3.0,Marketing,,519,,3.0,Sales Executive,Single,34640.0,1.0,Y,20.0,8.0,0.0,,,2.0,0.0,2
6.089889558232778,20.0,3.0,3.0,3.0,,2.0,21.0,Yes,Travel_Rarely,,1.0,4.0,Life Sciences,1.0,520,Male,1.0,Manager,Single,57750.0,1.0,,18.0,8.0,0.0,1.0,2.0,1.0,1.0,0
8.471864123159166,7.0,3.0,4.0,1.0,3.0,4.0,,Yes,Travel_Rarely,,23.0,3.0,Medical,1.0,522,Female,2.0,,Married,,,Y,20.0,8.0,,18.0,,,2.0,7
6.9431526104416665,16.0,,3.0,,1.0,2.0,28.0,Yes,,Research & Development,19.0,4.0,Life Sciences,1.0,523,Female,4.0,Laboratory Technician,Single,,1.0,Y,17.0,8.0,1.0,10.0,4.0,10.0,,9
5.991240517625833,8.0,3.0,3.0,2.0,1.0,3.0,44.0,Yes,Travel_Rarely,Research & Development,18.0,,Life Sciences,1.0,532,Female,2.0,Sales Executive,Married,21190.0,9.0,Y,15.0,8.0,,24.0,3.0,,,6
,15.0,2.0,,,1.0,3.0,35.0,Yes,Travel_Rarely,Sales,7.0,4.0,Life Sciences,1.0,534,,3.0,Sales Representative,Single,61180.0,0.0,,21.0,,1.0,,,8.0,4.0,7
7.169061802766389,20.0,3.0,3.0,1.0,3.0,3.0,33.0,Yes,Travel_Frequently,Research & Development,1.0,2.0,Life Sciences,1.0,535,Female,1.0,Sales Executive,Single,,1.0,Y,19.0,,,14.0,3.0,13.0,3.0,8
10.505999553770556,,,3.0,4.0,4.0,4.0,25.0,Yes,,Human Resources,25.0,4.0,Human Resources,,539,Female,2.0,Research Scientist,Married,82680.0,1.0,Y,12.0,8.0,0.0,7.0,3.0,7.0,5.0,6
,,,3.0,,3.0,2.0,26.0,Yes,Travel_Rarely,Sales,8.0,2.0,Marketing,1.0,540,Male,2.0,Sales Executive,Divorced,80950.0,1.0,Y,15.0,8.0,0.0,,3.0,1.0,0.0,0
9.596241633199444,15.0,3.0,3.0,1.0,2.0,3.0,33.0,Yes,Travel_Rarely,Research & Development,8.0,,Life Sciences,1.0,541,Male,4.0,Manufacturing Director,Single,29040.0,4.0,Y,,8.0,0.0,5.0,2.0,2.0,2.0,2
,14.0,3.0,3.0,,2.0,,28.0,Yes,Travel_Frequently,,7.0,3.0,Life Sciences,1.0,543,Male,2.0,Manager,,29760.0,1.0,Y,14.0,8.0,0.0,1.0,,1.0,0.0,0
10.337145247657222,3.0,3.0,3.0,,,3.0,50.0,Yes,,Research & Development,,,Medical,,544,Male,2.0,Research Scientist,Single,159920.0,3.0,Y,14.0,8.0,0.0,5.0,3.0,0.0,0.0,0
,,,,1.0,,3.0,39.0,Yes,Travel_Frequently,Sales,1.0,3.0,Marketing,1.0,556,Male,2.0,Healthcare Representative,,67550.0,7.0,Y,14.0,8.0,1.0,,2.0,,,5
6.572102855867778,15.0,4.0,3.0,3.0,3.0,3.0,18.0,Yes,,Research & Development,2.0,4.0,Medical,1.0,571,Male,3.0,Laboratory Technician,Single,109650.0,1.0,Y,,8.0,,0.0,,0.0,0.0,0
8.442636099955278,15.0,2.0,3.0,,,3.0,33.0,Yes,,Research & Development,3.0,2.0,Life Sciences,1.0,572,Male,1.0,Sales Executive,Single,,0.0,,14.0,,,6.0,2.0,5.0,0.0,3
6.614176706827222,18.0,4.0,3.0,,3.0,2.0,,Yes,,Sales,10.0,3.0,Technical Degree,1.0,574,Female,1.0,Research Director,Married,53040.0,1.0,Y,17.0,8.0,0.0,2.0,3.0,2.0,,2
,10.0,1.0,3.0,4.0,1.0,1.0,29.0,Yes,Travel_Rarely,Research & Development,6.0,3.0,Life Sciences,,579,Male,1.0,,Married,,1.0,Y,12.0,8.0,3.0,11.0,5.0,11.0,3.0,10
7.438930165104722,18.0,,3.0,3.0,,2.0,,Yes,Travel_Frequently,Sales,2.0,4.0,Life Sciences,1.0,581,Male,1.0,Laboratory Technician,Single,22850.0,,Y,,8.0,0.0,22.0,3.0,21.0,,14
9.836432396251666,11.0,1.0,3.0,3.0,,2.0,28.0,Yes,,,,4.0,Life Sciences,1.0,585,,2.0,,Married,41970.0,1.0,Y,13.0,8.0,0.0,,3.0,1.0,0.0,0
7.299009370816389,7.0,3.0,3.0,,3.0,2.0,43.0,Yes,Travel_Rarely,Sales,5.0,3.0,Marketing,1.0,592,Female,3.0,,Single,45220.0,8.0,,15.0,8.0,,7.0,3.0,4.0,1.0,3
,18.0,1.0,3.0,3.0,3.0,,44.0,Yes,Travel_Rarely,,6.0,2.0,Human Resources,1.0,600,Male,3.0,Sales Executive,,45580.0,1.0,,13.0,8.0,,,2.0,6.0,0.0,2
9.40254462293611,12.0,2.0,4.0,3.0,4.0,3.0,22.0,Yes,Travel_Frequently,Research & Development,22.0,4.0,Medical,1.0,603,Male,1.0,,Married,,,Y,24.0,8.0,,1.0,5.0,0.0,,0
6.9222054886211115,9.0,4.0,3.0,1.0,1.0,1.0,41.0,Yes,,Research & Development,12.0,3.0,Life Sciences,1.0,607,Male,2.0,,Divorced,195660.0,6.0,,16.0,,,5.0,,1.0,0.0,0
5.982658411423333,22.0,3.0,3.0,,,1.0,,Yes,Travel_Rarely,Human Resources,,4.0,Human Resources,,614,,3.0,Manufacturing Director,Married,28860.0,1.0,Y,19.0,,1.0,,5.0,,0.0,0
7.950911423471389,,,3.0,1.0,2.0,4.0,19.0,Yes,Non-Travel,Sales,2.0,2.0,Other,,635,,,Healthcare Representative,,98240.0,1.0,,18.0,8.0,0.0,1.0,2.0,1.0,0.0,0
9.019934181168889,5.0,,3.0,3.0,4.0,3.0,25.0,Yes,,Research & Development,1.0,1.0,Life Sciences,,654,,,,Single,109320.0,,Y,11.0,8.0,1.0,,3.0,1.0,1.0,0
9.164568273092222,18.0,3.0,3.0,1.0,,3.0,45.0,Yes,Travel_Rarely,Human Resources,12.0,3.0,Human Resources,,656,Male,2.0,Laboratory Technician,Single,43060.0,2.0,Y,11.0,8.0,2.0,,3.0,24.0,1.0,11
7.3506749219097225,8.0,,3.0,1.0,3.0,1.0,,Yes,Travel_Frequently,Research & Development,20.0,2.0,Medical,1.0,658,Female,,Research Scientist,Single,,1.0,Y,14.0,,1.0,2.0,2.0,2.0,2.0,2
,12.0,3.0,3.0,,4.0,3.0,44.0,Yes,Travel_Rarely,,21.0,,Life Sciences,1.0,671,Female,2.0,Laboratory Technician,Married,62720.0,,Y,19.0,8.0,1.0,10.0,3.0,10.0,,5
7.900343596608611,15.0,3.0,3.0,2.0,,,,Yes,Travel_Rarely,Research & Development,29.0,4.0,Technical Degree,1.0,675,Female,,Sales Representative,Divorced,,3.0,,,8.0,,10.0,4.0,7.0,7.0,7
6.204471218206111,,3.0,3.0,4.0,3.0,3.0,32.0,Yes,Travel_Rarely,,5.0,3.0,Technical Degree,1.0,682,Female,1.0,,,96020.0,1.0,Y,13.0,8.0,,10.0,,10.0,1.0,1
